Source,Target,Type,Confidence,Source_Tool
drug:belinostat,study:CLN-19,tested_in,1.0,LLM
ae:gastrointestinal_toxicity,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:gastrointestinal_toxicity,observed_in,1.0,LLM
ae:weight_loss,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:weight_loss,observed_in,1.0,LLM
ae:nausea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:nausea,observed_in,1.0,LLM
ae:fatigue,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:fatigue,observed_in,1.0,LLM
ae:pyrexia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pyrexia,observed_in,1.0,LLM
ae:anemia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:anemia,observed_in,1.0,LLM
ae:vomiting,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:vomiting,observed_in,1.0,LLM
ae:thrombocytopenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:thrombocytopenia,observed_in,1.0,LLM
ae:dyspnea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:dyspnea,observed_in,1.0,LLM
ae:neutropenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:neutropenia,observed_in,1.0,LLM
ae:pneumonia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pneumonia,observed_in,1.0,LLM
ae:decreased_red_blood_cells,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:decreased_red_blood_cells,observed_in,1.0,LLM
ae:decreased_hemoglobin,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:decreased_hemoglobin,observed_in,1.0,LLM
ae:decreased_lymphocytes,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:decreased_lymphocytes,observed_in,1.0,LLM
ae:increased_glucose,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:increased_glucose,observed_in,1.0,LLM
ae:decreased_albumin,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:decreased_albumin,observed_in,1.0,LLM
ae:all_grade_3-4_teaes,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:all_grade_3-4_teaes,observed_in,1.0,LLM
ae:progressive_disease_resulting_in_death,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:progressive_disease_resulting_in_death,observed_in,1.0,LLM
ae:teaes_resulting_in_death,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:teaes_resulting_in_death,observed_in,1.0,LLM
ae:all_related_grade_3-4_teaes,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:all_related_grade_3-4_teaes,observed_in,1.0,LLM
ae:nausea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:nausea,observed_in,1.0,LLM
ae:fatigue,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:fatigue,observed_in,1.0,LLM
ae:pyrexia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pyrexia,observed_in,1.0,LLM
ae:anemia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:anemia,observed_in,1.0,LLM
ae:vomiting,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:vomiting,observed_in,1.0,LLM
ae:constipation,study:CLN-19,observed_in,1.0,LLM
