Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://bioportal.bioontology.org#ontologyId,http://data.bioontology.org/metadata/prefixIRI,http://protege.stanford.edu/ontologies/metadata/provenance.owl#importCreator,http://protege.stanford.edu/ontologies/metadata/provenance.owl#importDate,http://protege.stanford.edu/ontologies/metadata/provenance.owl#ontologyName,http://protege.stanford.edu/ontologies/metadata/provenance.owl#ontologyVersion,http://protege.stanford.edu/ontologies/metadata/provenance.owl#termUrl
http://purl.bioontology.org/ontology/SNOMEDCT/91043001,Vacuolation,,Vacuolization|Vacuolation (morphologic abnormality)|Vacuolisation,false,,,http://purl.bioontology.org/ontology/SNOMEDCT/116023004,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=91043001
http://purl.bioontology.org/ontology/SNOMEDCT/409777003,Chronic inflammatory morphology,,Chronic inflammatory morphology (morphologic abnormality),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/409774005,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=409777003
http://purl.bioontology.org/ontology/SNOMEDCT/197269008,Acute necrosis of liver,,Acute yellow atrophy|Acute necrosis of liver (disorder)|Massive hepatic necrosis|Acute yellow atrophy of liver,false,,,http://purl.bioontology.org/ontology/SNOMEDCT/87248009,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/14783006,Hyperbilirubinemia,,"Bilirubinaemia|Bilirubinemia|Hyperbilirubinemia, NOS|Hyperbilirubinemia (disorder)|Hyperbilirubinaemia",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/80006005,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/92153000,Benign neoplasm of intra-abdominal organs,,"Benign neoplasm of intra-abdominal organs, NOS|Benign neoplasm of intra-abdominal organs (disorder)",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/255061006,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/123946008,Disorder by body site,,Disease by body site (disorder)|Disorder by body site (disorder)|Disease by body site,false,,,http://purl.bioontology.org/ontology/SNOMEDCT/118234003|http://purl.bioontology.org/ontology/SNOMEDCT/64572001,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/33359002,Degeneration,,"Degeneration (morphologic abnormality)|Degeneration, NOS|Degenerative change",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/107669003,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=33359002
http://purl.bioontology.org/ontology/SNOMEDCT/301305006,Finding of general observation of appearance,,General observation of appearance|Finding of general observation of appearance (finding),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/118222006,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/17349007,Portal triaditis,,"Portal triaditis (disorder)|Portal triaditis, NOS",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/128241005|http://purl.bioontology.org/ontology/SNOMEDCT/128998007,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/118234003,Finding by site,,Finding by site (finding),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/404684003,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/366100000,General form of body - finding,,Finding of general form of body|Finding of general form of body (finding),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/301305006,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/59848001,Obstructive hyperbilirubinemia,,Obstructive hyperbilirubinaemia|Obstructive jaundice|Obstructive hyperbilirubinemia (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/9326001,46896,,,,,,
