EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,SINGLE_REPEAT_TYPE,SACRIFICE_PERIOD,DOSE,DOSE_UNIT,DOSE_LEVEL,ALP(IU/L),TC(mg/dL),TG(mg/dL),PL(mg/dL),TBIL(mg/dL),DBIL(mg/dL),GLC(mg/dL),BUN(mg/dL),CRE(mg/dL),Na(meq/L),K(meq/L),Cl(meq/L),Ca(mg/dL),IP(mg/dL),TP(g/dL),RALB(g/dL),A/G,AST(IU/L),ALT(IU/L),LDH(IU/L),GTP(IU/L)
0040,01,1,acetaminophen,Single,3 hr,0,mg/kg,Control,877.0,104.0,83.0,172.0,0.29,0.04,196.0,17.0,0.3,141.0,6.7,102.0,10.9,12.1,5.6,3.6,1.8,83.0,50.0,128.0,2.0
0040,01,2,acetaminophen,Single,3 hr,0,mg/kg,Control,917.0,79.0,30.0,137.0,0.16,0.04,206.0,11.0,0.3,142.0,5.3,106.0,10.4,12.9,5.6,3.5,1.7,59.0,29.0,79.0,2.0
0040,01,3,acetaminophen,Single,3 hr,0,mg/kg,Control,751.0,86.0,41.0,150.0,0.19,0.08,181.0,12.0,0.2,141.0,4.8,104.0,10.7,11.5,5.3,3.5,1.9,64.0,33.0,186.0,1.0
0040,01,4,acetaminophen,Single,3 hr,0,mg/kg,Control,742.0,79.0,28.0,136.0,0.33,0.05,220.0,13.0,0.3,142.0,5.2,104.0,11.0,11.4,5.4,3.6,2.0,61.0,29.0,93.0,1.0
0040,01,5,acetaminophen,Single,3 hr,0,mg/kg,Control,923.0,79.0,27.0,128.0,0.26,0.06,192.0,13.0,0.4,140.0,5.6,101.0,10.9,11.5,5.5,3.6,1.9,64.0,34.0,70.0,4.0
0040,02,1,acetaminophen,Single,6 hr,0,mg/kg,Control,1043.0,107.0,54.0,180.0,0.33,0.05,196.0,17.0,0.4,143.0,6.3,103.0,11.7,14.3,5.9,3.7,1.7,77.0,34.0,134.0,1.0
0040,02,2,acetaminophen,Single,6 hr,0,mg/kg,Control,1205.0,85.0,76.0,164.0,0.33,0.04,191.0,11.0,0.4,142.0,4.3,104.0,10.5,11.0,5.6,3.4,1.6,58.0,34.0,90.0,1.0
0040,02,3,acetaminophen,Single,6 hr,0,mg/kg,Control,886.0,87.0,39.0,152.0,0.35,0.06,169.0,9.0,0.2,141.0,5.1,105.0,10.4,11.3,5.4,3.6,2.0,62.0,33.0,144.0,1.0
0040,02,4,acetaminophen,Single,6 hr,0,mg/kg,Control,728.0,122.0,25.0,183.0,0.35,0.05,184.0,9.0,0.3,143.0,4.5,106.0,10.7,10.3,5.7,3.6,1.7,59.0,25.0,88.0,1.0
0040,02,5,acetaminophen,Single,6 hr,0,mg/kg,Control,681.0,86.0,39.0,146.0,0.3,0.04,225.0,9.0,0.3,142.0,6.4,106.0,10.9,12.6,5.2,3.3,1.7,61.0,35.0,70.0,1.0
0040,03,1,acetaminophen,Single,9 hr,0,mg/kg,Control,771.0,92.0,65.0,158.0,0.29,0.11,194.0,14.0,0.3,142.8,5.83,106.9,10.4,10.0,5.6,3.6,1.8,57.0,32.0,117.0,1.0
0040,03,2,acetaminophen,Single,9 hr,0,mg/kg,Control,1129.0,81.0,114.0,159.0,0.34,0.09,186.0,12.0,0.2,143.9,4.85,107.1,10.6,11.3,5.4,3.4,1.7,57.0,30.0,86.0,2.0
0040,03,3,acetaminophen,Single,9 hr,0,mg/kg,Control,1017.0,90.0,45.0,165.0,0.28,0.12,171.0,12.0,0.3,141.6,5.84,104.8,10.3,11.4,5.5,3.3,1.5,50.0,30.0,51.0,3.0
0040,03,4,acetaminophen,Single,9 hr,0,mg/kg,Control,758.0,91.0,40.0,161.0,0.31,0.1,211.0,13.0,0.2,142.3,4.83,105.1,10.9,10.6,5.5,3.2,1.39,48.0,23.0,82.0,3.0
0040,03,5,acetaminophen,Single,9 hr,0,mg/kg,Control,1275.0,89.0,46.0,173.0,0.29,0.03,191.0,11.0,0.3,143.5,5.49,105.3,10.1,11.5,5.5,3.5,1.75,55.0,28.0,72.0,2.0
0040,04,1,acetaminophen,Single,24 hr,0,mg/kg,Control,1011.0,80.0,116.0,163.0,0.2,0.04,210.0,17.0,0.3,139.0,4.9,102.0,10.7,8.5,5.9,4.2,2.5,53.0,37.0,101.0,1.0
0040,04,2,acetaminophen,Single,24 hr,0,mg/kg,Control,994.0,76.0,68.0,146.0,0.19,0.11,194.0,12.0,0.3,140.0,5.3,105.0,10.5,8.0,5.7,4.1,2.6,63.0,34.0,81.0,1.0
0040,04,3,acetaminophen,Single,24 hr,0,mg/kg,Control,960.0,77.0,191.0,145.0,0.27,0.06,206.0,19.0,0.4,142.0,5.3,105.0,10.3,10.9,5.7,4.1,2.6,56.0,37.0,72.0,1.0
0040,04,4,acetaminophen,Single,24 hr,0,mg/kg,Control,929.0,89.0,69.0,169.0,0.25,0.04,222.0,16.0,0.3,142.0,5.0,106.0,11.2,10.1,5.6,3.9,2.3,55.0,35.0,114.0,1.0
