EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,SPECIES,SEX_TYPE,SACRIFICE_PERIOD,DOSE,DOSE_UNIT,DOSE_LEVEL,BARCODE,CELL_VIABILITY
5004,01,1,acetaminophen,Rat,Male,2 hr,0,É M,Control,003017705030,5004011
5004,01,2,acetaminophen,Rat,Male,2 hr,0,É M,Control,003017706001,5004012
5004,03,1,acetaminophen,Rat,Male,8 hr,0,É M,Control,003017706008,5004031
5004,03,2,acetaminophen,Rat,Male,8 hr,0,É M,Control,003017706009,5004032
5004,04,1,acetaminophen,Rat,Male,24 hr,0,É M,Control,003017706015,5004041
5004,04,2,acetaminophen,Rat,Male,24 hr,0,É M,Control,003017706016,5004042
5004,16,1,acetaminophen,Rat,Male,2 hr,1000,É M,Low,003017706002,5004161
5004,16,2,acetaminophen,Rat,Male,2 hr,1000,É M,Low,003017706003,5004162
5004,18,1,acetaminophen,Rat,Male,8 hr,1000,É M,Low,003017706010,5004181
5004,18,2,acetaminophen,Rat,Male,8 hr,1000,É M,Low,003017716010,5004182
5004,19,1,acetaminophen,Rat,Male,24 hr,1000,É M,Low,003017706017,5004191
5004,19,2,acetaminophen,Rat,Male,24 hr,1000,É M,Low,003017706018,5004192
5004,21,1,acetaminophen,Rat,Male,2 hr,3000,É M,Middle,003017706004,5004211
5004,21,2,acetaminophen,Rat,Male,2 hr,3000,É M,Middle,003017706005,5004212
5004,23,1,acetaminophen,Rat,Male,8 hr,3000,É M,Middle,003017706011,5004231
5004,23,2,acetaminophen,Rat,Male,8 hr,3000,É M,Middle,003017706012,5004232
5004,24,1,acetaminophen,Rat,Male,24 hr,3000,É M,Middle,003017706019,5004241
5004,24,2,acetaminophen,Rat,Male,24 hr,3000,É M,Middle,003017706020,5004242
5004,26,1,acetaminophen,Rat,Male,2 hr,10000,É M,High,003017706006,5004261
5004,26,2,acetaminophen,Rat,Male,2 hr,10000,É M,High,003017706007,5004262
5004,28,1,acetaminophen,Rat,Male,8 hr,10000,É M,High,003017706013,5004281
5004,28,2,acetaminophen,Rat,Male,8 hr,10000,É M,High,003017706014,5004282
5004,29,1,acetaminophen,Rat,Male,24 hr,10000,É M,High,003017706021,5004291
5004,29,2,acetaminophen,Rat,Male,24 hr,10000,É M,High,003017706022,5004292
5005,01,1,carbon tetrachloride,Rat,Male,2 hr,0,É M,Control,003017722023,5005011
