EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,SPECIES,SEX_TYPE,SACRIFICE_PERIOD,DOSE,DOSE_UNIT,DOSE_LEVEL,DNA(%),LDH(%)
5004,01,1,acetaminophen,Rat,Male,2 hr,0,É M,Control,102.0,99.6
5004,01,2,acetaminophen,Rat,Male,2 hr,0,É M,Control,98.0,100.4
5004,03,1,acetaminophen,Rat,Male,8 hr,0,É M,Control,100.1,100.5
5004,03,2,acetaminophen,Rat,Male,8 hr,0,É M,Control,99.9,99.5
5004,04,1,acetaminophen,Rat,Male,24 hr,0,É M,Control,96.4,101.0
5004,04,2,acetaminophen,Rat,Male,24 hr,0,É M,Control,103.6,99.0
5004,16,1,acetaminophen,Rat,Male,2 hr,1000,É M,Low,93.9,101.0
5004,16,2,acetaminophen,Rat,Male,2 hr,1000,É M,Low,90.0,101.3
5004,18,1,acetaminophen,Rat,Male,8 hr,1000,É M,Low,98.1,99.6
5004,18,2,acetaminophen,Rat,Male,8 hr,1000,É M,Low,96.4,96.5
5004,19,1,acetaminophen,Rat,Male,24 hr,1000,É M,Low,95.7,100.9
5004,19,2,acetaminophen,Rat,Male,24 hr,1000,É M,Low,98.3,98.5
5004,21,1,acetaminophen,Rat,Male,2 hr,3000,É M,Middle,94.4,100.5
5004,21,2,acetaminophen,Rat,Male,2 hr,3000,É M,Middle,99.1,100.9
5004,23,1,acetaminophen,Rat,Male,8 hr,3000,É M,Middle,100.9,96.9
5004,23,2,acetaminophen,Rat,Male,8 hr,3000,É M,Middle,103.3,95.3
5004,24,1,acetaminophen,Rat,Male,24 hr,3000,É M,Middle,105.8,96.1
5004,24,2,acetaminophen,Rat,Male,24 hr,3000,É M,Middle,99.7,94.3
5004,26,1,acetaminophen,Rat,Male,2 hr,10000,É M,High,101.4,103.7
5004,26,2,acetaminophen,Rat,Male,2 hr,10000,É M,High,97.2,103.6
5004,28,1,acetaminophen,Rat,Male,8 hr,10000,É M,High,100.7,106.2
5004,28,2,acetaminophen,Rat,Male,8 hr,10000,É M,High,104.3,105.1
5004,29,1,acetaminophen,Rat,Male,24 hr,10000,É M,High,100.9,106.8
5004,29,2,acetaminophen,Rat,Male,24 hr,10000,É M,High,100.4,104.8
5005,01,1,carbon tetrachloride,Rat,Male,2 hr,0,É M,Control,103.7,99.8
5005,01,2,carbon tetrachloride,Rat,Male,2 hr,0,É M,Control,96.3,100.2
5005,03,1,carbon tetrachloride,Rat,Male,8 hr,0,É M,Control,100.9,99.9
5005,03,2,carbon tetrachloride,Rat,Male,8 hr,0,É M,Control,99.1,100.1
5005,04,1,carbon tetrachloride,Rat,Male,24 hr,0,É M,Control,100.5,99.4
5005,04,2,carbon tetrachloride,Rat,Male,24 hr,0,É M,Control,99.5,100.6
5005,16,1,carbon tetrachloride,Rat,Male,2 hr,1000,É M,Low,91.9,99.9
5005,16,2,carbon tetrachloride,Rat,Male,2 hr,1000,É M,Low,85.4,100.8
5005,18,1,carbon tetrachloride,Rat,Male,8 hr,1000,É M,Low,65.2,100.3
5005,18,2,carbon tetrachloride,Rat,Male,8 hr,1000,É M,Low,93.6,100.2
5005,19,1,carbon tetrachloride,Rat,Male,24 hr,1000,É M,Low,101.5,101.7
5005,19,2,carbon tetrachloride,Rat,Male,24 hr,1000,É M,Low,91.9,102.7
5005,21,1,carbon tetrachloride,Rat,Male,2 hr,3000,É M,Middle,88.8,100.3
5005,21,2,carbon tetrachloride,Rat,Male,2 hr,3000,É M,Middle,86.1,100.6
5005,23,1,carbon tetrachloride,Rat,Male,8 hr,3000,É M,Middle,102.4,100.7
5005,23,2,carbon tetrachloride,Rat,Male,8 hr,3000,É M,Middle,92.8,100.1
5005,24,1,carbon tetrachloride,Rat,Male,24 hr,3000,É M,Middle,97.3,101.2
5005,24,2,carbon tetrachloride,Rat,Male,24 hr,3000,É M,Middle,90.1,103.1
5005,26,1,carbon tetrachloride,Rat,Male,2 hr,10000,É M,High,,58.3
5005,26,2,carbon tetrachloride,Rat,Male,2 hr,10000,É M,High,,57.0
5005,28,1,carbon tetrachloride,Rat,Male,8 hr,10000,É M,High,60.3,36.7
5005,28,2,carbon tetrachloride,Rat,Male,8 hr,10000,É M,High,61.2,34.5
