COMPOUND_NAME,COMPOUND_ABBREVIATION,COMPOUND_NO,Human - in vitro,Rat - in vitro,Rat - in vivo - Liver - Single,Rat - in vivo - Liver - Repeat,Rat - in vivo - Kidney - Single,Rat - in vivo - Kidney - Repeat
1% cholesterol + 0.25% sodium cholate,CH+DS-Na,00161,,,,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/1%25_cholesterol_%2B_0.25%25_sodium_cholate.Rat.in_vivo.Liver.Repeat.zip,,
"2,4-dinitrophenol",DNP,00154,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/2%2C4-dinitrophenol.Human.in_vitro.Liver.zip,,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/2%2C4-dinitrophenol.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/2%2C4-dinitrophenol.Rat.in_vivo.Liver.Repeat.zip,,
2-nitrofluorene,2NF,00160,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/2-nitrofluorene.Human.in_vitro.Liver.zip,,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/2-nitrofluorene.Rat.in_vivo.Liver.Single.zip,,,
3-methylcholanthrene,3-MC,00166,,,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/3-methylcholanthrene.Rat.in_vivo.Liver.Single.zip,,,
acarbose,ACA,00116,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/acarbose.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/acarbose.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/acarbose.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/acarbose.Rat.in_vivo.Liver.Repeat.zip,,
acetamide,AAA,00169,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/acetamide.Human.in_vitro.Liver.zip,,,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/acetamide.Rat.in_vivo.Liver.Repeat.zip,,
acetamidofluorene,AAF,00144,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/acetamidofluorene.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/acetamidofluorene.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/acetamidofluorene.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/acetamidofluorene.Rat.in_vivo.Liver.Repeat.zip,,
acetaminophen,APAP,00001,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/acetaminophen.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/acetaminophen.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/acetaminophen.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/acetaminophen.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/acetaminophen.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/acetaminophen.Rat.in_vivo.Kidney.Repeat.zip
acetazolamide,ACZ,00108,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/acetazolamide.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/acetazolamide.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/acetazolamide.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/acetazolamide.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/acetazolamide.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/acetazolamide.Rat.in_vivo.Kidney.Repeat.zip
adapin,ADP,00039,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/adapin.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/adapin.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/adapin.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/adapin.Rat.in_vivo.Liver.Repeat.zip,,
