EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,SINGLE_REPEAT_TYPE,SEX_TYPE,STRAIN_TYPE,ADMINISTRATION_ROUTE_TYPE,ANIMAL_AGE(week),SACRIFICE_PERIOD,DOSE,DOSE_UNIT,DOSE_LEVEL,TERMINAL_BW(g),LIVER(g),KIDNEY_TOTAL(g),KIDNEY_R(g),KIDNEY_L(g)
0040,01,1,acetaminophen,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,0,mg/kg,Control,209.5,10.548,1.886,0.94,0.946
0040,01,2,acetaminophen,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,0,mg/kg,Control,183.3,8.811,1.845,0.928,0.917
0040,01,3,acetaminophen,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,0,mg/kg,Control,200.8,9.76,1.956,0.991,0.965
0040,01,4,acetaminophen,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,0,mg/kg,Control,210.9,9.525,1.949,0.968,0.981
0040,01,5,acetaminophen,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,0,mg/kg,Control,196.3,9.17,1.961,0.947,1.014
0040,02,1,acetaminophen,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,0,mg/kg,Control,200.7,9.375,1.925,1.023,0.902
0040,02,2,acetaminophen,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,0,mg/kg,Control,203.2,9.515,1.796,0.9,0.896
0040,02,3,acetaminophen,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,0,mg/kg,Control,194.5,8.509,1.814,0.908,0.906
0040,02,4,acetaminophen,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,0,mg/kg,Control,197.8,8.745,1.823,0.905,0.918
0040,02,5,acetaminophen,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,0,mg/kg,Control,207.0,8.756,2.044,1.039,1.005
0040,03,1,acetaminophen,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,0,mg/kg,Control,189.4,7.592,1.929,1.006,0.923
0040,03,2,acetaminophen,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,0,mg/kg,Control,202.7,8.763,1.705,0.843,0.862
0040,03,3,acetaminophen,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,0,mg/kg,Control,209.2,9.356,1.896,0.963,0.933
