BARCODE,EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,DOSE_LEVEL,SACRIFICE_PERIOD,ORGAN,FINDING_TYPE,TOPOGRAPHY_TYPE,GRADE_TYPE,SP_FLG
No ChipData,0698,01,1,1% cholesterol + 0.25% sodium cholate,Control,4 day,Liver,"Deposit, glycogen",Peripheral,slight,true
No ChipData,0698,02,5,1% cholesterol + 0.25% sodium cholate,Control,8 day,Liver,"Deposit, glycogen",Peripheral,slight,true
003017906001,0698,05,1,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,"Degeneration, fatty",Peripheral,slight,false
No ChipData,0698,05,2,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,"Degeneration, fatty",Peripheral,slight,false
003017906002,0698,05,3,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,"Degeneration, fatty",Peripheral,slight,false
No ChipData,0698,05,4,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,"Degeneration, fatty",Peripheral,slight,false
003017906003,0698,05,5,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,"Degeneration, fatty",Peripheral,slight,false
003017906001,0698,05,1,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,"Deposit, glycogen",Peripheral,slight,false
No ChipData,0698,05,2,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,"Deposit, glycogen",Peripheral,slight,false
003017906002,0698,05,3,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,"Deposit, glycogen",Peripheral,slight,false
003017906001,0698,05,1,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,Increased mitosis,Hepatocyte,slight,false
No ChipData,0698,05,2,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,Increased mitosis,Hepatocyte,slight,false
003017906002,0698,05,3,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,Increased mitosis,Hepatocyte,moderate,false
No ChipData,0698,05,4,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,Increased mitosis,Hepatocyte,moderate,false
003017906003,0698,05,5,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,Increased mitosis,Hepatocyte,moderate,false
No ChipData,0698,06,2,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Cellular infiltration, mononuclear cell",,slight,false
003017906008,0698,06,3,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Cellular infiltration, mononuclear cell",,slight,false
003017906007,0698,06,1,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Degeneration, fatty",Peripheral,slight,false
No ChipData,0698,06,2,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Degeneration, fatty",Peripheral,slight,false
003017906008,0698,06,3,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Degeneration, fatty",Peripheral,slight,false
003017906009,0698,06,4,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Degeneration, fatty",Peripheral,slight,false
No ChipData,0698,06,5,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Degeneration, fatty",Peripheral,slight,false
003017906007,0698,06,1,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Deposit, glycogen",Peripheral,slight,false
No ChipData,0698,06,2,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Deposit, glycogen",Peripheral,slight,false
003017906009,0698,06,4,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Deposit, glycogen",Peripheral,slight,false
No ChipData,0698,06,5,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Deposit, glycogen",Peripheral,slight,false
No ChipData,0698,06,2,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,Increased mitosis,Hepatocyte,slight,false
No ChipData,0698,06,5,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,Increased mitosis,Hepatocyte,slight,false
003017906009,0698,06,4,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,Necrosis,Hepatocyte,slight,false
No ChipData,0698,07,4,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,"Cellular infiltration, mononuclear cell",,slight,false
003017906015,0698,07,5,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,"Cellular infiltration, mononuclear cell",,slight,false
No ChipData,0698,07,1,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,"Degeneration, fatty",Peripheral,moderate,false
003017906013,0698,07,2,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,"Degeneration, fatty",Peripheral,moderate,false
003017906014,0698,07,3,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,"Degeneration, fatty",Peripheral,moderate,false
No ChipData,0698,07,4,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,"Degeneration, fatty",Peripheral,moderate,false
003017906015,0698,07,5,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,"Degeneration, fatty",Peripheral,moderate,false
No ChipData,0698,07,1,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,Necrosis,Hepatocyte,slight,false
No ChipData,0698,07,4,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,Necrosis,Hepatocyte,slight,false
003017906015,0698,07,5,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,Necrosis,Hepatocyte,slight,false
003017906019,0698,08,1,1% cholesterol + 0.25% sodium cholate,High,29 day,Liver,"Cellular infiltration, mononuclear cell",,slight,false
No ChipData,0698,08,3,1% cholesterol + 0.25% sodium cholate,High,29 day,Liver,"Cellular infiltration, mononuclear cell",,slight,false
003017906021,0698,08,5,1% cholesterol + 0.25% sodium cholate,High,29 day,Liver,"Cellular infiltration, mononuclear cell",,slight,false
003017906019,0698,08,1,1% cholesterol + 0.25% sodium cholate,High,29 day,Liver,"Degeneration, fatty",Peripheral,severe,false
No ChipData,0698,08,2,1% cholesterol + 0.25% sodium cholate,High,29 day,Liver,"Degeneration, fatty",Peripheral,severe,false
No ChipData,0698,08,3,1% cholesterol + 0.25% sodium cholate,High,29 day,Liver,"Degeneration, fatty",Peripheral,severe,false
003017906020,0698,08,4,1% cholesterol + 0.25% sodium cholate,High,29 day,Liver,"Degeneration, fatty",Peripheral,severe,false
003017906021,0698,08,5,1% cholesterol + 0.25% sodium cholate,High,29 day,Liver,"Degeneration, fatty",Peripheral,severe,false
003017906019,0698,08,1,1% cholesterol + 0.25% sodium cholate,High,29 day,Liver,Necrosis,Hepatocyte,slight,false
No ChipData,0708,05,1,3-methylcholanthrene,Low,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
No ChipData,0708,05,2,3-methylcholanthrene,Low,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
003017912020,0708,05,3,3-methylcholanthrene,Low,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
No ChipData,0708,05,2,3-methylcholanthrene,Low,3 hr,Liver,Single cell necrosis,Centrilobular,slight,false
003017912021,0708,05,4,3-methylcholanthrene,Low,3 hr,Liver,Single cell necrosis,Centrilobular,slight,false
No ChipData,0708,09,2,3-methylcholanthrene,Middle,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
003017912023,0708,09,3,3-methylcholanthrene,Middle,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
003017912024,0708,09,4,3-methylcholanthrene,Middle,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
003017912025,0708,09,5,3-methylcholanthrene,Middle,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
No ChipData,0708,09,1,3-methylcholanthrene,Middle,3 hr,Liver,Single cell necrosis,Centrilobular,slight,false
003017912023,0708,09,3,3-methylcholanthrene,Middle,3 hr,Liver,Single cell necrosis,Centrilobular,slight,false
003017912024,0708,09,4,3-methylcholanthrene,Middle,3 hr,Liver,Single cell necrosis,Centrilobular,slight,false
No ChipData,0708,10,5,3-methylcholanthrene,Middle,6 hr,Liver,Single cell necrosis,Centrilobular,slight,false
No ChipData,0708,13,2,3-methylcholanthrene,High,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
003017912026,0708,13,3,3-methylcholanthrene,High,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
003017912027,0708,13,4,3-methylcholanthrene,High,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
003017912028,0708,13,5,3-methylcholanthrene,High,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
003017912027,0708,13,4,3-methylcholanthrene,High,3 hr,Liver,Necrosis,Hepatocyte,slight,true
No ChipData,0708,13,2,3-methylcholanthrene,High,3 hr,Liver,Single cell necrosis,Centrilobular,slight,false
003017912026,0708,13,3,3-methylcholanthrene,High,3 hr,Liver,Single cell necrosis,Centrilobular,slight,false
003017912028,0708,13,5,3-methylcholanthrene,High,3 hr,Liver,Single cell necrosis,Centrilobular,slight,false
No ChipData,0708,13,1,3-methylcholanthrene,High,3 hr,Liver,Single cell necrosis,Centrilobular,moderate,false
