source,target,edge_type
DRUG_PXD101,STUDY_RAT_26WK,tested_in
DRUG_PXD101,STUDY_DOG_26WK,tested_in
STUDY_RAT_26WK,AG_RAT_M_0MG,has_group
DRUG_PXD101,AG_RAT_M_0MG,administered_to
STUDY_RAT_26WK,AG_RAT_F_0MG,has_group
DRUG_PXD101,AG_RAT_F_0MG,administered_to
STUDY_RAT_26WK,AG_RAT_M_10MG,has_group
DRUG_PXD101,AG_RAT_M_10MG,administered_to
STUDY_RAT_26WK,AG_RAT_F_10MG,has_group
DRUG_PXD101,AG_RAT_F_10MG,administered_to
STUDY_RAT_26WK,AG_RAT_M_25MG,has_group
DRUG_PXD101,AG_RAT_M_25MG,administered_to
STUDY_RAT_26WK,AG_RAT_F_25MG,has_group
DRUG_PXD101,AG_RAT_F_25MG,administered_to
STUDY_RAT_26WK,AG_RAT_M_100MG,has_group
DRUG_PXD101,AG_RAT_M_100MG,administered_to
STUDY_RAT_26WK,AG_RAT_F_100MG,has_group
DRUG_PXD101,AG_RAT_F_100MG,administered_to
STUDY_DOG_26WK,AG_DOG_M_0MG,has_group
DRUG_PXD101,AG_DOG_M_0MG,administered_to
STUDY_DOG_26WK,AG_DOG_F_0MG,has_group
DRUG_PXD101,AG_DOG_F_0MG,administered_to
STUDY_DOG_26WK,AG_DOG_M_10MG,has_group
DRUG_PXD101,AG_DOG_M_10MG,administered_to
STUDY_DOG_26WK,AG_DOG_F_10MG,has_group
DRUG_PXD101,AG_DOG_F_10MG,administered_to
STUDY_DOG_26WK,AG_DOG_M_25MG,has_group
DRUG_PXD101,AG_DOG_M_25MG,administered_to
STUDY_DOG_26WK,AG_DOG_F_25MG,has_group
DRUG_PXD101,AG_DOG_F_25MG,administered_to
STUDY_DOG_26WK,AG_DOG_M_50MG,has_group
DRUG_PXD101,AG_DOG_M_50MG,administered_to
STUDY_DOG_26WK,AG_DOG_F_50MG,has_group
DRUG_PXD101,AG_DOG_F_50MG,administered_to
AG_RAT_M_10MG,PK_RAT_M_10MG_D1,has_exposure
AG_RAT_M_10MG,PK_RAT_M_10MG_D151,has_exposure
AG_RAT_F_10MG,PK_RAT_F_10MG_D1,has_exposure
AG_RAT_F_10MG,PK_RAT_F_10MG_D151,has_exposure
AG_RAT_M_25MG,PK_RAT_M_25MG_D1,has_exposure
AG_RAT_M_25MG,PK_RAT_M_25MG_D151,has_exposure
AG_RAT_F_25MG,PK_RAT_F_25MG_D1,has_exposure
AG_RAT_F_25MG,PK_RAT_F_25MG_D151,has_exposure
AG_RAT_M_100MG,PK_RAT_M_100MG_D1,has_exposure
AG_RAT_M_100MG,PK_RAT_M_100MG_D151,has_exposure
AG_RAT_F_100MG,PK_RAT_F_100MG_D1,has_exposure
AG_RAT_F_100MG,PK_RAT_F_100MG_D151,has_exposure
AG_DOG_M_10MG,PK_DOG_M_10MG_D1,has_exposure
AG_DOG_M_10MG,PK_DOG_M_10MG_D151,has_exposure
AG_DOG_F_10MG,PK_DOG_F_10MG_D1,has_exposure
AG_DOG_F_10MG,PK_DOG_F_10MG_D151,has_exposure
AG_DOG_M_25MG,PK_DOG_M_25MG_D1,has_exposure
AG_DOG_M_25MG,PK_DOG_M_25MG_D151,has_exposure
AG_DOG_F_25MG,PK_DOG_F_25MG_D1,has_exposure
AG_DOG_F_25MG,PK_DOG_F_25MG_D151,has_exposure
AG_DOG_M_50MG,PK_DOG_M_50MG_D1,has_exposure
AG_DOG_M_50MG,PK_DOG_M_50MG_D151,has_exposure
AG_DOG_F_50MG,PK_DOG_F_50MG_D1,has_exposure
AG_DOG_F_50MG,PK_DOG_F_50MG_D151,has_exposure
