node_id,node_type,AUC,AUC_SD,Cmax,Cmax_SD,Tmax,accumulation_flag,cycle,cycle_count,day,dose_mg_per_kg,dose_mg_per_m2,dosing_schedule,drug_name,duration_days,early_decedent_flag,early_termination_flag,exposure_ratio_day151_day1,formulation,glp_status,group_id,incidence_count,lesion_type,mechanism,mortality_count,mortality_percent,n_recovery,n_terminal,n_tk,organ,parameter,percent_change,recovery_flag,recovery_presence,route,severity_grade,sex,sex_exposure_ratio,species,statistical_significance,study_id,study_type,treatment_phase,vehicle
DRUG_PXD101,Drug,,,,,,,,,,,,,PXD101 (Belinostat),,,,,Solution for injection,,,,,Histone Deacetylase (HDAC) Inhibitor,,,,,,,,,,,Intravenous (IV),,,,,,,,,
STUDY_RAT_26WK,Study,,,,,,,,8,,,,5 days on / 16 days off (21-day cycle),,182,,,,,GLP,,,,,,,,,,,,,,,,,,,Rat,,PXD101-RAT-26WK,Repeat-dose toxicity with TK,,L-arginine/phosphoric acid solution
STUDY_DOG_26WK,Study,,,,,,,,8,,,,5 days on / 16 days off (21-day cycle),,182,,,,,GLP,,,,,,,,,,,,,,,,,,,Dog,,PXD101-DOG-26WK,Repeat-dose toxicity with TK,,L-arginine/phosphoric acid solution
AG_RAT_M_0MG,AnimalGroup,,,,,,,,,,0,0,,,,,,,,,RAT-G1-M,,,,,,5,10,0,,,,,,,,M,,Rat,,,,terminal/recovery/TK,
AG_RAT_F_0MG,AnimalGroup,,,,,,,,,,0,0,,,,,,,,,RAT-G1-F,,,,,,5,10,0,,,,,,,,F,,Rat,,,,terminal/recovery/TK,
AG_RAT_M_10MG,AnimalGroup,,,,,,,,,,10,60,,,,,,,,,RAT-G2-M,,,,,,0,10,8,,,,,,,,M,,Rat,,,,terminal/recovery/TK,
AG_RAT_F_10MG,AnimalGroup,,,,,,,,,,10,60,,,,,,,,,RAT-G2-F,,,,,,0,10,8,,,,,,,,F,,Rat,,,,terminal/recovery/TK,
AG_RAT_M_25MG,AnimalGroup,,,,,,,,,,25,150,,,,,,,,,RAT-G3-M,,,,,,0,10,8,,,,,,,,M,,Rat,,,,terminal/recovery/TK,
AG_RAT_F_25MG,AnimalGroup,,,,,,,,,,25,150,,,,,,,,,RAT-G3-F,,,,,,0,10,8,,,,,,,,F,,Rat,,,,terminal/recovery/TK,
AG_RAT_M_100MG,AnimalGroup,,,,,,,,,,100,600,,,,,,,,,RAT-G4-M,,,,,,5,10,8,,,,,,,,M,,Rat,,,,terminal/recovery/TK,
AG_RAT_F_100MG,AnimalGroup,,,,,,,,,,100,600,,,,,,,,,RAT-G4-F,,,,,,5,10,8,,,,,,,,F,,Rat,,,,terminal/recovery/TK,
AG_DOG_M_0MG,AnimalGroup,,,,,,,,,,0,0,,,,,,,,,DOG-M-0MG,,,,,,2,3,3,,,,,,,,M,,Dog,,,,terminal/recovery/TK,
AG_DOG_F_0MG,AnimalGroup,,,,,,,,,,0,0,,,,,,,,,DOG-F-0MG,,,,,,2,3,3,,,,,,,,F,,Dog,,,,terminal/recovery/TK,
AG_DOG_M_10MG,AnimalGroup,,,,,,,,,,10,200,,,,,,,,,DOG-M-10MG,,,,,,0,3,3,,,,,,,,M,,Dog,,,,terminal/TK,
AG_DOG_F_10MG,AnimalGroup,,,,,,,,,,10,200,,,,,,,,,DOG-F-10MG,,,,,,0,3,3,,,,,,,,F,,Dog,,,,terminal/TK,
AG_DOG_M_25MG,AnimalGroup,,,,,,,,,,25,500,,,,,,,,,DOG-M-25MG,,,,,,0,3,3,,,,,,,,M,,Dog,,,,terminal/TK,
AG_DOG_F_25MG,AnimalGroup,,,,,,,,,,25,500,,,,,,,,,DOG-F-25MG,,,,,,0,3,3,,,,,,,,F,,Dog,,,,terminal/TK,
AG_DOG_M_50MG,AnimalGroup,,,,,,,,,,50,1000,,,,,,,,,DOG-M-50MG,,,,,,2,3,3,,,,,,,,M,,Dog,,,,terminal/recovery/TK,
AG_DOG_F_50MG,AnimalGroup,,,,,,,,,,50,1000,,,,,,,,,DOG-F-50MG,,,,,,2,3,3,,,,,,,,F,,Dog,,,,terminal/recovery/TK,
PK_RAT_M_10MG_D1,PK_Profile,0.27,,1.14,,,No,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,M,,Rat,,,,,
PK_RAT_M_10MG_D151,PK_Profile,0.71,,2.63,,,Yes,,,151,10,,,,,,,2.63,,,,,,,,,,,,,,,,,,,M,,Rat,,,,,
PK_RAT_F_10MG_D1,PK_Profile,0.4,,1.85,,,No,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,F,,Rat,,,,,
PK_RAT_F_10MG_D151,PK_Profile,0.53,,2.48,,,Yes,,,151,10,,,,,,,1.32,,,,,,,,,,,,,,,,,,,F,,Rat,,,,,
PK_RAT_M_25MG_D1,PK_Profile,0.81,,3.13,,,No,,,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,M,,Rat,,,,,
PK_RAT_M_25MG_D151,PK_Profile,2.22,,7.64,,,Yes,,,151,25,,,,,,,2.74,,,,,,,,,,,,,,,,,,,M,,Rat,,,,,
PK_RAT_F_25MG_D1,PK_Profile,1.01,,4.56,,,No,,,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,F,,Rat,,,,,
PK_RAT_F_25MG_D151,PK_Profile,1.76,,6.15,,,Yes,,,151,25,,,,,,,1.74,,,,,,,,,,,,,,,,,,,F,,Rat,,,,,
PK_RAT_M_100MG_D1,PK_Profile,5.87,,14.06,,,No,,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,M,,Rat,,,,,
PK_RAT_M_100MG_D151,PK_Profile,18.45,,30.34,,,Yes,,,151,100,,,,,,,3.14,,,,,,,,,,,,,,,,,,,M,,Rat,,,,,
PK_RAT_F_100MG_D1,PK_Profile,6.81,,23.87,,,No,,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,F,,Rat,,,,,
PK_RAT_F_100MG_D151,PK_Profile,12.09,,37.1,,,Yes,,,151,100,,,,,,,1.78,,,,,,,,,,,,,,,,,,,F,,Rat,,,,,
PK_DOG_M_10MG_D1,PK_Profile,1.3,,2.9,,,No,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,M,,Dog,,,,,
PK_DOG_M_10MG_D151,PK_Profile,2.7,,4.2,,,Yes,,,151,10,,,,,,,2.08,,,,,,,,,,,,,,,,,,,M,,Dog,,,,,
PK_DOG_F_10MG_D1,PK_Profile,1.6,,3.9,,,No,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,F,,Dog,,,,,
PK_DOG_F_10MG_D151,PK_Profile,2.2,,3.8,,,Yes,,,151,10,,,,,,,1.38,,,,,,,,,,,,,,,,,,,F,,Dog,,,,,
PK_DOG_M_25MG_D1,PK_Profile,4.3,,10.5,,,No,,,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,M,,Dog,,,,,
PK_DOG_M_25MG_D151,PK_Profile,6.1,,10.3,,,Yes,,,151,25,,,,,,,1.42,,,,,,,,,,,,,,,,,,,M,,Dog,,,,,
PK_DOG_F_25MG_D1,PK_Profile,4.4,,8.5,,,No,,,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,F,,Dog,,,,,
