drug_name,dili_label,severity,injury_type,evidence_count,clinical_liver_risk_score
1-naphthylisothiocyanate,1.0,,,,
2-acetylaminofluorene,1.0,,,,
4-aminosalicylic acid,1.0,,,,
abacavir,1.0,,C,1,
abacavir sulfate,,8.0,,,8.0
abaloparatide,,0.0,,,0.0
abatacept,1.0,0.0,C,2,0.0
abciximab,0.0,0.0,,,0.0
abemaciclib,,3.0,E*,3,3.0
abiraterone,1.0,,C,4,
abiraterone acetate,,8.0,,,8.0
abrocitinib,,,E,5,
acalabrutinib,,4.0,D,6,4.0
acamprosate,1.0,,E,7,
acamprosate calcium,,3.0,,,3.0
acarbose,1.0,8.0,B,8,8.0
acebutolol,1.0,,C,9,
acebutolol hydrochloride,,3.0,,,3.0
aceclofenac,1.0,0.0,,,0.0
acemetacin,1.0,,,,
acenocoumarol,1.0,,,,
acetaminophen,1.0,5.0,A [HD],10,5.0
acetarsol,1.0,,,,
acetazolamide,1.0,8.0,D,11,8.0
acetohexamide,1.0,,B,12,
acetohydroxamic acid,,3.0,,,3.0
acetorphan,1.0,,,,
acetylcholine chloride,0.0,0.0,,,0.0
acetylcysteine,0.0,0.0,E,13,0.0
aciclovir,1.0,,,,
acitretin,1.0,5.0,B,14,5.0
aclidinium,,,E,15,
acoramidis,,,E,16,
acrivastine,0.0,,E,17,
acyclovir,,5.0,D,18,5.0
adagrasib,,,D,19,
adalimumab,1.0,7.0,B,20,7.0
adefovir,1.0,,E,21,
adefovir dipivoxil,,2.0,,,2.0
adenosine,0.0,0.0,,,0.0
aducanumab,,,E,22,
afamelanotide,,,E,23,
afatinib,,,D,24,
afatinib dimaleate,,8.0,,,8.0
aflatoxin b1,1.0,,,,
aflibercept,,,E,25,
agalsidase beta,0.0,0.0,E,26,0.0
alaproclate,1.0,8.0,,,8.0
alatrofloxacin,1.0,,,,
alatrofloxacin mesylate,1.0,8.0,,,8.0
albendazole,1.0,7.0,B,27,7.0
albiglutide,,,E,28,
albuterol,,0.0,E,29,0.0
alclofenac,1.0,8.0,,,8.0
aldesleukin,,3.0,C[HD],30,3.0
alectinib,,,D,31,
alectinib hydrochloride,,4.0,,,4.0
alefacept,,,E*,32,
alemtuzumab,0.0,0.0,C,33,0.0
alendronate,1.0,,C,34,
alendronate sodium,,0.0,,,0.0
alfacalcidol,1.0,,,,
alfentanil,0.0,,E,35,
alfentanil hydrochloride,,0.0,,,0.0
alfuzosin,1.0,,C,36,
alfuzosin hydrochloride,,5.0,,,5.0
alglucerase,,,E,37,
alglucosidase alfa,0.0,0.0,E,38,0.0
alimemazine,1.0,,,,
alirocumab,,,E,39,
aliskiren,1.0,,C,40,
aliskiren hemifumarate,,0.0,,,0.0
allopurinol,1.0,8.0,A,41,8.0
alloxan,0.0,,,,
allyl alcohol,1.0,,,,
allyl formate,1.0,,,,
almotriptan,0.0,,E,42,
almotriptan malate,,0.0,,,0.0
aloe vera,,,B,43,
alogliptin,,,E*,44,
alogliptin benzoate,,8.0,,,8.0
alosetron,1.0,,D,45,
alosetron hydrochloride,,4.0,,,4.0
alpelisib,,3.0,E*,46,3.0
alpha linolenic acid,,,E,47,
alpha lipoic acid,,,E,48,
alpha tocopherol,,,E,49,
alpha-1 proteinase,,,E,50,
alpidem,1.0,8.0,,,8.0
alprazolam,1.0,7.0,D,51,7.0
alteplase,0.0,0.0,,,0.0
altretamine,0.0,2.0,E*,52,2.0
alvimopan,0.0,0.0,,,0.0
amantadine,0.0,,E,53,
amantadine hydrochloride,,3.0,,,3.0
ambenonium,0.0,,E,54,
ambenonium chloride,,0.0,,,0.0
ambrisentan,0.0,7.0,E,55,7.0
ambroxol,1.0,,,,
amifampridine,,0.0,E,56,0.0
amifampridine phosphate,,3.0,,,3.0
amifostine,0.0,0.0,X,57,0.0
amikacin,0.0,,E,58,
amikacin sulfate,,0.0,,,0.0
amiloride,1.0,,D,59,
amiloride hydrochloride,,3.0,,,3.0
amineptine,1.0,8.0,,,8.0
aminocaproic acid,0.0,0.0,X,60,0.0
aminoglutethimide,0.0,,X,61,
aminohippurate,0.0,,,,
aminohippurate sodium,,0.0,,,0.0
aminolevulinic acid,1.0,,,,
aminophylline,0.0,0.0,E,62,0.0
aminosalicylic acid,,5.0,A,63,5.0
amiodarone,1.0,,A,64,
amiodarone hydrochloride,,8.0,,,8.0
amisulpride,1.0,3.0,E,65,3.0
amitriptyline,1.0,,B,66,
amitriptyline hydrochloride,,5.0,,,5.0
amivantamab,,,E,67,
amlodipine,1.0,,C,68,
amlodipine besylate,,5.0,,,5.0
ammonium chloride,0.0,0.0,,,0.0
amobarbital,0.0,,E,69,
amodiaquine,1.0,,A,70,
amoxapine,0.0,3.0,E,71,3.0
amoxicillin,1.0,5.0,B,72,5.0
amphetamine,1.0,,,,
amphetamine sulfate,,0.0,,,0.0
amphetamines,,,A [HD],73,
amphotericin b,1.0,3.0,,,3.0
amphotericin-b,,,C,74,
ampicillin,1.0,,C,75,
ampicillin sodium,,3.0,,,3.0
ampiroxicam,1.0,,,,
amprenavir,,3.0,D,76,3.0
amsacrine,1.0,,,,
anagrelide,,,E*,77,
anagrelide hydrochloride,,3.0,,,3.0
anakinra,1.0,0.0,C,78,0.0
anastrozole,1.0,3.0,C,79,3.0
androgenic steroids,,,A,80,
androgenic steroids*,1.0,,,,
androstanolone,1.0,,,,
androstenedione,,,A,81,
anethole,1.0,,,,
angiotensin ii acetate,,0.0,,,0.0
anidulafungin,0.0,7.0,D,82,7.0
anifrolumab,,,E,83,
anileridine,0.0,,,,
antithymocyte globulin,,3.0,E*,84,3.0
antithymocyte immunoglobulin,1.0,,,,
apalutamide,,0.0,E,85,0.0
apixaban,,4.0,B,86,4.0
aplaviroc,1.0,8.0,,,8.0
apoaequorin,,,E,87,
apomorphine,0.0,,E,88,
apomorphine hydrochloride,,0.0,,,0.0
apremilast,,0.0,E,89,0.0
aprepitant,,3.0,E,90,3.0
aprocitentan,,,,91,
aprotinin,,7.0,,,7.0
arbekacin,1.0,,,,
argatroban,0.0,0.0,,,0.0
arginine hydrochloride,,0.0,,,0.0
argipressin,0.0,0.0,,,0.0
arimoclomol citrate,,,,92,
aripiprazole,0.0,5.0,D,93,5.0
aripiprazole lauroxil,,5.0,,,5.0
armodafinil,,3.0,E,94,3.0
arnica montana,,,E,95,
arsenic,,,A [HD],96,
arsenic trioxide,,3.0,,,3.0
artecaine,,,E,97,
artemether,0.0,,,,
artemisinin,1.0,,D,98,
artesunate,1.0,5.0,E,99,5.0
asciminib,,,E*,100,
asciminib hydrochloride,,4.0,,,4.0
ascorbic acid,,,E,101,
asenapine,,,D,102,
ashwagandha,,,B,103,
asparaginase,1.0,7.0,A,104,7.0
asparaginase erwinia,,,E*,105,
aspirin,1.0,0.0,A [HD],106,0.0
astemizole,0.0,,,,
astralgus,,,E,107,
asunaprevir,,,C,108,
atazanavir,1.0,,D,109,
atazanavir sulfate,,3.0,,,3.0
atenolol,1.0,4.0,D,110,4.0
atezolizumab,,,B,111,
atogepant,,3.0,X,112,3.0
atoltivimab,,,E,113,
atomoxetine,1.0,,C,114,
atomoxetine hydrochloride,,8.0,,,8.0
atorvastatin,1.0,,A,115,
atorvastatin calcium,,5.0,,,5.0
atovaquone,0.0,8.0,D,116,8.0
atractyloside,1.0,,,,
atracurium,0.0,0.0,,,0.0
atropine,0.0,0.0,E,117,0.0
attapulgite,,,E,118,
auranofin,1.0,3.0,E,119,3.0
aurothioglucose,1.0,,,,
aurothiomalate,,,A,120,
avacincaptad pegol,,,E,121,
avacopan,,8.0,C,122,8.0
avalglucosidase alfa,,,X,123,
avanafil,,0.0,E*,124,0.0
avapritinib,,4.0,E*,125,4.0
avatrombopag,,,E*,126,
