n,r,m
"(:Drug {iupac_name: N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide, drug_name: Belinostat, smiles: C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO, h_donor: 3, h_acceptor: 5, tpsa: 104, molecular_weight: 318.3, chembl_id: CHEMBL408513, logp: 1.7, cid: 53437714})",[:HAS_STUDY_OVERVIEW],(:StudyOverview {name: Belinostat Study Overview})
"(:Drug {iupac_name: N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide, drug_name: Belinostat, smiles: C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO, h_donor: 3, h_acceptor: 5, tpsa: 104, molecular_weight: 318.3, chembl_id: CHEMBL408513, logp: 1.7, cid: 53437714})",[:HAS_CLINICAL_DATA],(:ClinicalData {name: Belinostat Clinical Data})
"(:Drug {iupac_name: N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide, drug_name: Belinostat, smiles: C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO, h_donor: 3, h_acceptor: 5, tpsa: 104, molecular_weight: 318.3, chembl_id: CHEMBL408513, logp: 1.7, cid: 53437714})",[:HAS_PRECLINICAL_DATA],(:PreClinicalData {name: Belinostat Pre-Clinical Data})
"(:Drug {iupac_name: N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide, drug_name: Belinostat, smiles: C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO, h_donor: 3, h_acceptor: 5, tpsa: 104, molecular_weight: 318.3, chembl_id: CHEMBL408513, logp: 1.7, cid: 53437714})",[:HAS_DRUG_PRODUCT_INFO],(:DrugProductInfo {name: Belinostat Drug Product Info})
"(:Drug {iupac_name: N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide, drug_name: Belinostat, smiles: C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO, h_donor: 3, h_acceptor: 5, tpsa: 104, molecular_weight: 318.3, chembl_id: CHEMBL408513, logp: 1.7, cid: 53437714})",[:HAS_SAFETY_EFFICACY],(:SafetyEfficacy {name: Belinostat Safety & Efficacy})
"(:Drug {iupac_name: N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide, drug_name: Belinostat, smiles: C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO, h_donor: 3, h_acceptor: 5, tpsa: 104, molecular_weight: 318.3, chembl_id: CHEMBL408513, logp: 1.7, cid: 53437714})",[:HAS_ADVERSE_EVENTS],(:AdverseEvents {name: Belinostat Adverse Events})
"(:Drug {iupac_name: N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide, drug_name: Belinostat, smiles: C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO, h_donor: 3, h_acceptor: 5, tpsa: 104, molecular_weight: 318.3, chembl_id: CHEMBL408513, logp: 1.7, cid: 53437714})",[:HAS_RECOMMENDED_DOSE],"(:RecommendedDose {administration_days: Days 1-5, unit: mg/m², dose: 1000, route: IV infusion, infusion_duration: 30 minutes, cycle_length: 21 days, frequency: Every 21-day cycle})"
"(:Drug {iupac_name: N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide, drug_name: Belinostat, smiles: C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO, h_donor: 3, h_acceptor: 5, tpsa: 104, molecular_weight: 318.3, chembl_id: CHEMBL408513, logp: 1.7, cid: 53437714})",[:HAS_TRANSCRIPTOMIC_DATA],(:TranscriptomicData {name: Belinostat LINCS Transcriptomic Data})
"(:Drug {iupac_name: N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide, drug_name: Belinostat, smiles: C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO, h_donor: 3, h_acceptor: 5, tpsa: 104, molecular_weight: 318.3, chembl_id: CHEMBL408513, logp: 1.7, cid: 53437714})","[:SIMILAR_TO {score: 0.78, metric: Tanimoto, rank: 1, shared_structural_features: Highly Similar. Shares both the rare sulfonamide linker and the N-hydroxycinnamamide Zinc-Binding Group (ZBG). The only major difference is a pyrrole ring in place of a phenyl ring, and an added solubility group.}]",(:Drug {drug_name: Resminostat})
"(:Drug {iupac_name: N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide, drug_name: Belinostat, smiles: C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO, h_donor: 3, h_acceptor: 5, tpsa: 104, molecular_weight: 318.3, chembl_id: CHEMBL408513, logp: 1.7, cid: 53437714})","[:SIMILAR_TO {score: 0.52, metric: Tanimoto, rank: 2, shared_structural_features: Moderately Similar. Contains the exact same N-hydroxycinnamamide bioactive fragment as Belinostat. However, it lacks the sulfonamide linker, relying on a different core structure.}]",(:Drug {drug_name: Dacinostat})
