id,Label,Type,All Deaths,All Related Deaths,All Related TEAEs,All Related TEAEs Leading to Discontinuation,All Serious Related TEAEs,All Serious Related TEAEs Other Than Death,All Serious TEAEs,All Serious TEAEs Other Than Death,All TEAEs,All TEAEs Leading to Discontinuation,Other Related TEAEs Leading to Discontinuation,Other TEAEs Leading to Discontinuation,Related SAEs Leading to Discontinuation,SAEs Leading to Discontinuation,administered_at,administered_every,administered_to,administered_with,chromosome,clearance,completed_on,coordinates,discontinued_by,dose_escalated_using,dosed_at,elimination_half_life,grade_3_4,infused_over,length,ontology_confidence,original_term,phase,pk_dosing_info,serious,source,species,sponsor,stable_for,status,stored_at,study_statistic,synergizes_with,treated,type,used_in_combination_with
study:CLN-19,CLN-19,Clinical Study,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,,,,,,,11-Aug-2011,,,,,,,,,,,Phase 1/2,,,,,Spectrum Pharmaceuticals,,Completed,,Belinostat Clinical Trials; Clinical Trials; Phase 2 study; Grade 3-4 TEAEs; TEAEs Leading to Discontinuation; Related Grade 3-4 TEAEs; Related TEAEs Leading to Discontinuation; Study Treatment; Study Treatment; Study Treatment; Grade 3-4 TEAEs; Treatment-related Grade 3-4 TEAEs; All TEAEs; All Serious TEAEs; All Related TEAEs; dose adjustment or discontinuation based on hepatic toxicity severity,,,,
drug:belinostat,Belinostat,Drug,,,,,,,,,,,,,,,1000 mg/m² Days 1-5,21 days,129 patients,5-FU,,1240 mL/min,,,19% of patients,3+3 design,"250-2,000 mg/day",1.1 hours,,30 minutes,,,,,cell cycle arrest; Rapid plasma level decline; Slight accumulation after 8 cycles; Infusion Site Pain; treatment and start of each cycle,,,,,12 hours at ambient temperature (15℃-25℃; 59ºF-77°F),,20° to 25°℃ (68° to 77ºF),,5-FU,1186 patients,Small Molecule,5-FU
ae:gastrointestinal_toxicity,Gastrointestinal toxicity,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Gastrointestinal toxicity,,,False,,,,,,,,,,,
ae:weight_loss,Weight loss,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,0.3,Weight loss,,,False,,,,,,,,,,,
ae:nausea,Nausea,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1.0,Nausea,,,False,,,,,,,,,,,
ae:fatigue,Fatigue,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1.0,Fatigue,,,False,,,,,,,,,,,
ae:pyrexia,Pyrexia,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1.0,Pyrexia,,,False,,,,,,,,,,,
ae:anemia,Anemia,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 14, 'percentage': '10.9%'}",,,1.0,Anemia,,,False,,,,,,,,,,,
ae:vomiting,Vomiting,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,1.0,Vomiting,,,False,,,,,,,,,,,
ae:thrombocytopenia,Thrombocytopenia,Adverse Event,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'count': 9, 'percentage': '7.0%'}",,,1.0,Thrombocytopenia,,,True,,,,,,,,,,,
